Product Link,Title,Price,Discription,Image Link
https://amzn.to/4fQoHd2,ZEBRONICS Keyboard,699,ZEBRONICS Backor developers,https://m.media-amazon.com/images/I/71Fu1MbuFXL._SX679_.jpg
https://amzn.to/3ZthCcC,Silicon Keyboard Protector,105,"15.6"" inch Keyboard Protector for laptop",https://m.media-amazon.com/images/I/61VI+sDx5KL._SL1500_.jpg
https://amzn.to/3BkMX7W,Protonics mouse,389,Protonics 6 button mouse for developers ,https://m.media-amazon.com/images/I/51dVObLX7oL._SX679_.jpg
https://amzn.to/4imsAbq,Pendrive,599,64GB SanDisk Pendrive,https://m.media-amazon.com/images/I/617wjUR4vbL._SX679_.jpg
